2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type AbstractPortletSkinable is uptodate
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type AbstractPortletStat is uptodate
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type AbstractPortletStatReport is uptodate
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type Article is uptodate
2015-04-04 00:31:41,435 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type DBMailMessage is uptodate
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type Faq is uptodate
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type FaqEntry is uptodate
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type Glossary is uptodate
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type GlossaryEntry is uptodate
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type Interview is uptodate
2015-04-04 00:31:41,436 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortalJspCollection is uptodate
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletColumn is uptodate
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletDecorator is uptodate
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletFeed is uptodate
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - ------------------------------
2015-04-04 00:31:41,437 INFO [localhost-startStop-1] [JCMS 9] [jcms.TypeProcessor]  - Type PortletIFrame is uptodate
